memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,3295166,0.092709,14201256,4450000,
128,cold,True,2904019,0.026751,13895703,3698000,
128,cold,True,3403934,0.108607,16256046,4420000,
128,cold,True,269266,0.165315,9318807,401000,
128,cold,True,3099787,0.057455,11467318,3772000,
128,cold,True,2499148,0.119697,13618024,3225000,
128,cold,True,2597057,0.07522,12961445,3454000,
128,cold,True,264268,0.085801,6469834,363000,
128,cold,True,3198599,0.132301,15577511,4134000,
128,cold,True,3096943,0.090872,13600592,4241000,
128,cold,True,2900601,0.084624,13433931,3854000,
128,cold,True,284416,0.136248,14373279,368000,
128,cold,True,228325,0.05391,3309588,311000,
128,cold,True,3303722,0.103124,13561867,4023000,
128,cold,True,3099505,0.124026,12732185,4139000,
128,cold,True,317240,0.0824,4314512,414000,
128,cold,True,248841,0.128679,10812178,325000,
128,cold,True,286816,0.132778,12659366,366000,
128,cold,True,279338,0.096898,10023616,353000,
128,cold,True,3400456,0.04808,11374714,4154000,
128,cold,True,3792466,0.104932,17728708,4915000,
128,cold,True,273074,0.095,12310158,355000,
128,cold,True,3088413,0.119232,13122342,3822000,
128,cold,True,3207826,0.053406,13134896,4325000,
128,cold,True,3299293,0.052768,13998026,4123000,
128,cold,True,3199665,0.09556,13871375,3929000,
128,cold,True,2894563,0.100876,14070957,3830000,
128,cold,True,269098,0.118054,13626294,350000,
128,cold,True,4097318,0.050439,12666248,5063000,
128,cold,True,3602578,0.112961,13668811,4626000,
128,cold,True,247829,0.108105,9744673,365000,
128,cold,True,2894362,0.083378,13615860,3712000,
128,cold,True,288526,0.142096,9680298,390000,
128,cold,True,2923079,0.057644,10068358,3525000,
128,cold,True,3709759,0.110154,16305418,5288000,
128,cold,True,261091,0.062105,10849389,339000,
128,cold,True,3697928,0.032695,12904434,4921000,
128,cold,True,3200290,0.091468,14079466,4118000,
128,cold,True,242800,0.063228,9093497,334000,
128,cold,True,2899442,0.086958,13809355,3806000,
128,cold,True,3098554,0.113375,13916981,4352000,
128,cold,True,308480,0.079997,12166362,398000,
128,cold,True,3396029,0.08842,17626597,4122000,
128,cold,True,3301630,0.086087,17862493,4226000,
128,cold,True,276635,0.069072,11447786,383000,
128,cold,True,246336,0.134818,2876866,329000,
128,cold,True,3402394,0.078974,13838763,4431000,
128,cold,True,3294413,0.082023,14136315,4240000,
128,cold,True,3697233,0.107854,13422741,4384000,
128,cold,True,2891930,0.139715,15714676,3738000,
128,cold,True,3008830,0.090052,17794796,4023000,
128,cold,True,256478,0.073329,14750578,361000,
128,cold,True,2796938,0.067609,12715357,3635000,
128,cold,True,272560,0.09174,10936244,359000,
128,cold,True,270375,0.099467,3864566,350000,
128,cold,True,2896701,0.095964,13146547,3849000,
128,cold,True,4595737,0.081821,13726362,5753000,
128,cold,True,2806925,0.149141,16169645,3715000,
128,cold,True,3894605,0.053054,13471517,4934000,
128,cold,True,3207263,0.107521,14224370,4366000,
128,cold,True,253742,0.08651,15146532,341000,
128,cold,True,273621,0.117266,11759258,365000,
128,cold,True,298364,0.07395,7582782,369000,
128,cold,True,2900861,0.102187,11419117,3978000,
128,cold,True,286635,0.101895,9360999,401000,
128,cold,True,271217,0.162236,13315240,395000,
128,cold,True,2904128,0.149171,15652888,3855000,
128,cold,True,259677,0.124045,7788261,332000,
128,cold,True,235793,0.090516,11274598,317000,
128,cold,True,3304474,0.091117,11930984,4515000,
128,cold,True,2596576,0.055263,15776856,3684000,
128,cold,True,3085724,0.030942,14163930,3928000,
128,cold,True,3903971,0.101117,13150077,4809000,
128,cold,True,279899,0.15077,14303422,3827000,
128,cold,True,3502279,0.095755,13979176,4614000,
128,cold,True,3499401,0.093385,14465709,4425000,
128,cold,True,2702744,0.031249,9656895,3350000,
128,cold,True,3592847,0.092896,13778352,4929000,
128,cold,True,2894449,0.096513,16528657,3816000,
128,cold,True,3598619,0.067282,14009951,4838000,
128,cold,True,4298120,0.062482,12986684,5242000,
128,cold,True,2696767,0.108228,12889702,3489000,
128,cold,True,265930,0.114311,4443144,395000,
128,cold,True,231208,0.033895,10316560,321000,
128,cold,True,251554,0.052686,5026648,349000,
128,cold,True,754313,0.107739,12151612,6158000,
128,cold,True,249455,0.094476,10313120,365000,
128,cold,True,252728,0.075674,11258742,378000,
128,cold,True,3004535,0.062657,12612094,3876000,
128,cold,True,3596653,0.051555,13298825,4950000,
128,cold,True,2902624,0.119519,12717792,4061000,
128,cold,True,266760,0.105686,10950281,353000,
128,cold,True,3484126,0.048741,13489814,4449000,
128,cold,True,3235980,0.106238,15809309,4319000,
128,cold,True,3559471,0.097918,15420632,4266000,
128,cold,True,3204104,0.059567,11823516,4615000,
128,cold,True,3301081,0.043404,13502028,4372000,
128,cold,True,236138,0.091744,10388886,317000,
128,cold,True,2209028,0.101054,10864424,2763000,
128,cold,True,2997971,0.066244,13591458,4152000,
128,cold,True,273476,0.062413,9362062,357000,
128,cold,True,3113342,0.060372,14519998,4529000,
128,cold,True,3097843,0.14846,16238752,4220000,
128,cold,True,3493922,0.102811,13985192,4651000,
128,cold,True,3294627,0.090227,12081908,4298000,
128,cold,True,243502,0.11478,5909346,343000,
128,cold,True,3097088,0.110541,17128862,6160000,
128,cold,True,253304,0.063134,14548537,324000,
128,cold,True,2601678,0.071094,13185184,3696000,
128,cold,True,2894525,0.09309,11751167,4071000,
128,cold,True,257308,0.119531,11315847,349000,
128,cold,True,271701,0.091257,9810871,377000,
128,cold,True,3601323,0.034029,10475463,4165000,
128,cold,True,3398729,0.109639,13775098,4228000,
128,cold,True,311409,0.086546,11706221,402000,
128,cold,True,278566,0.031138,8934652,2022000,
128,cold,True,3007289,0.080296,16147355,3828000,
128,cold,True,3101141,0.031047,10733720,4114000,
128,cold,True,280498,0.090566,10734121,366000,
128,cold,True,258719,0.099601,10260874,336000,
128,cold,True,3495140,0.049294,11272700,4097000,
128,cold,True,3596451,0.080853,16914470,4727000,
128,cold,True,3398214,0.117363,13625913,4319000,
128,cold,True,5199288,0.12453,14932774,6616000,
128,cold,True,2991330,0.133393,13688910,3994000,
128,cold,True,262102,0.110065,6664562,346000,
128,cold,True,263165,0.083654,15028384,323000,
128,cold,True,260049,0.084713,9123045,379000,
128,cold,True,2805502,0.113006,11973230,3988000,
128,cold,True,245069,0.134551,9999783,326000,
128,cold,True,3290545,0.126806,13110582,4082000,
128,cold,True,2806767,0.112222,13106362,3721000,
128,cold,True,2794108,0.081175,12610535,3670000,
128,cold,True,262907,0.095687,11265013,354000,
128,cold,True,2896963,0.164373,15120963,3804000,
128,cold,True,236544,0.0402,4168528,358000,
128,cold,True,3195918,0.098804,13438322,4239000,
128,cold,True,258695,0.071007,3686136,335000,
128,cold,True,240233,0.135328,11874542,332000,
128,cold,True,2898077,0.085495,13832116,3883000,
128,cold,True,274722,0.123938,9778175,349000,
128,cold,True,3199805,0.108273,14170628,4048000,
128,cold,True,266208,0.109483,8693309,336000,
128,cold,True,2800574,0.103785,12656884,3749000,
128,cold,True,240652,0.136619,7560687,340000,
128,cold,True,3294227,0.097246,12548424,4210000,
128,cold,True,3602886,0.108992,14497888,4815000,
128,cold,True,281120,0.119829,13010773,378000,
128,cold,True,3033219,0.032128,9943141,3652000,
128,cold,True,3099435,0.084822,13447158,3872000,
128,cold,True,3291770,0.109834,17779596,4399000,
128,cold,True,3594207,0.11517,15893134,4800000,
128,cold,True,4501599,0.06085,17540597,5655000,
128,cold,True,3100169,0.068913,13165031,4106000,
128,cold,True,3195238,0.122043,15187457,3979000,
128,cold,True,263638,0.052047,4820986,350000,
128,cold,True,311830,0.073374,4865262,413000,
128,cold,True,293162,0.078489,11773489,393000,
128,cold,True,3300162,0.068681,16708499,4824000,
128,cold,True,258086,0.078006,10824857,385000,
128,cold,True,2697593,0.085259,12266377,3700000,
128,cold,True,3301195,0.115943,16346046,4435000,
128,cold,True,244900,0.091803,10363832,312000,
128,cold,True,249892,0.067529,12196773,324000,
128,cold,True,234760,0.068121,2166111,310000,
128,cold,True,260954,0.041115,9905908,345000,
128,cold,True,3096285,0.064953,14291478,4049000,
128,cold,True,3186075,0.085944,17213811,4052000,
128,cold,True,245679,0.109647,12578828,343000,
128,cold,True,256476,0.126525,9668662,331000,
128,cold,True,254353,0.031241,7886072,3019000,
128,cold,True,3601640,0.096931,15037679,4393000,
128,cold,True,3601941,0.096726,14492806,4661000,
128,cold,True,3196541,0.153632,15906589,4226000,
128,cold,True,3396371,0.0978,17522450,4514000,
128,cold,True,3194122,0.099121,14114493,4006000,
128,cold,True,3007296,0.072538,13701457,4284000,
128,cold,True,2800012,0.111149,13019673,3687000,
128,cold,True,2990670,0.141965,16011036,3843000,
128,cold,True,2970399,0.074446,18014007,3991000,
128,cold,True,304244,0.103695,9833417,386000,
128,cold,True,292201,0.049702,11384711,444000,
128,cold,True,2895767,0.117419,13699890,3515000,
128,cold,True,2797995,0.111978,14263292,3806000,
128,cold,True,2994724,0.099282,16553981,3937000,
128,cold,True,392669,0.093109,11480023,527000,
128,cold,True,218534,0.109603,2497767,315000,
128,cold,True,3295057,0.083368,13109852,4467000,
128,cold,True,3799360,0.107791,15623546,5072000,
128,cold,True,3194013,0.099272,14084337,4084000,
128,cold,True,237791,0.120333,10017108,351000,
