memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,220066,0.049793,1463135,280000,
128,cold,True,3395282,0.037166,7681461,4220000,
128,cold,True,3001714,0.042867,8629650,3778000,
128,cold,True,298757,0.081004,2955824,385000,
128,cold,True,241214,0.034684,3619422,294000,
128,cold,True,4105807,0.029995,8275248,5105000,
128,cold,True,3299934,0.044495,8199006,4189000,
128,cold,True,4095258,0.081933,8341373,4769000,
128,cold,True,342414,0.041962,8113391,3791000,
128,cold,True,210381,0.092169,1643809,264000,
128,cold,True,2902705,0.049965,8382003,3798000,
128,cold,True,2998213,0.099587,8166376,3599000,
128,cold,True,305721,0.052103,3304554,394000,
128,cold,True,330614,0.058389,2972603,430000,
128,cold,True,2604826,0.03706,7541975,3300000,
128,cold,True,214715,0.050276,3382982,279000,
128,cold,True,3406622,0.077115,5562256,4359000,
128,cold,True,278495,0.049463,3268916,365000,
128,cold,True,249651,0.044818,2500424,353000,
128,cold,True,260637,0.044455,3690301,320000,
128,cold,True,3195567,0.100406,8004731,3884000,
128,cold,True,2901174,0.038854,5697512,3316000,
128,cold,True,3299596,0.040519,8415390,4104000,
128,cold,True,2873199,0.044115,8468590,3285000,
128,cold,True,241862,0.086183,3297565,334000,
128,cold,True,2794305,0.089949,6218183,3613000,
128,cold,True,230502,0.098631,3281943,286000,
128,cold,True,307997,0.044604,2974427,428000,
128,cold,True,3495178,0.042944,7842828,4379000,
128,cold,True,3295190,0.052831,8271602,4208000,
128,cold,True,3299241,0.048731,8352142,4244000,
128,cold,True,309139,0.039053,3574808,415000,
128,cold,True,2013607,0.07903,9378415,8945000,
128,cold,True,3197090,0.04293,8288675,4046000,
128,cold,True,249473,0.088011,5592275,3272000,
128,cold,True,2596616,0.041256,8119107,3219000,
128,cold,True,312023,0.05105,3507461,399000,
128,cold,True,3413837,0.0847,8505068,4282000,
128,cold,True,4498129,0.048027,8713180,5439000,
128,cold,True,2694828,0.035826,4248428,3230000,
128,cold,True,3597784,0.0408,8605207,4427000,
128,cold,True,2997333,0.060779,7107953,3933000,
128,cold,True,3697267,0.041632,8577099,4550000,
128,cold,True,2894645,0.054738,8641681,3682000,
128,cold,True,2904484,0.04702,8374762,3818000,
128,cold,True,3703989,0.040302,8430442,4678000,
128,cold,True,3200277,0.050632,8636262,3900000,
128,cold,True,3800773,0.038294,7935443,4729000,
128,cold,True,297502,0.108097,2253314,396000,
128,cold,True,2661436,0.046833,5664609,3195000,
128,cold,True,238533,0.031962,4133286,349000,
128,cold,True,221104,0.04244,3930407,321000,
128,cold,True,255515,0.041707,3998534,318000,
128,cold,True,3998674,0.048419,7951061,4645000,
128,cold,True,3696389,1.194569,8163161,4569000,
128,cold,True,2688535,0.045736,8433951,3118000,
128,cold,True,278331,0.052363,3556750,351000,
128,cold,True,3093553,0.043787,8479479,3647000,
128,cold,True,226793,0.039794,3973942,294000,
128,cold,True,4055684,0.041298,8351437,4665000,
128,cold,True,245788,0.042779,3601115,342000,
128,cold,True,3102261,0.093253,7650758,3934000,
128,cold,True,3100976,0.090779,7692284,3985000,
128,cold,True,235251,0.055256,3039692,294000,
128,cold,True,3694269,0.038319,8189168,4170000,
128,cold,True,3382566,0.044823,8023259,4083000,
128,cold,True,226070,0.043886,2255377,339000,
128,cold,True,3898841,0.037527,8762745,5063000,
128,cold,True,3687944,0.048294,7655726,4519000,
128,cold,True,268481,0.049063,3506782,373000,
128,cold,True,3398795,0.087204,8225079,4501000,
128,cold,True,4298579,0.048147,8256658,5371000,
128,cold,True,2998182,0.04487,8619517,3893000,
128,cold,True,235639,0.096904,3130554,336000,
128,cold,True,254329,0.045943,1967733,320000,
128,cold,True,280046,0.045634,3262934,353000,
128,cold,True,3999223,0.050378,8736235,5092000,
128,cold,True,3304403,0.044238,8550435,4104000,
128,cold,True,4400235,0.03756,8096764,5016000,
128,cold,True,3795958,0.036174,8315495,4393000,
128,cold,True,3698723,1.194211,7452536,4892000,
