memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,3804777,0.109717,4768661,4444590,87.0
128,cold,True,3804958,0.080311,4917975,4405390,87.0
128,cold,True,3899894,0.090191,5047180,4558360,87.0
128,cold,True,3907194,0.075806,4944743,4527650,87.0
128,cold,True,3874835,0.074775,6366218,4496520,87.0
128,cold,True,3845850,0.080886,7737476,4467730,87.0
128,cold,True,3764046,0.072661,4685533,4386120,87.0
128,cold,True,3815395,0.077143,4738643,4437970,87.0
128,cold,True,3881435,0.079762,4812578,4502020,87.0
128,cold,True,4004400,0.08104,4979534,4645730,88.0
128,cold,True,3962641,0.07761,7843569,4544430,88.0
128,cold,True,3876828,0.077394,4777252,4518270,87.0
128,cold,True,3949528,0.077925,7805832,4608320,88.0
128,cold,True,3902456,0.084802,4829537,4543430,88.0
128,cold,True,4086340,0.091038,5964644,4727390,87.0
128,cold,True,3883819,0.080188,4839026,4504900,87.0
128,cold,True,3794403,0.077996,4854850,4374970,87.0
128,cold,True,3764826,0.082982,4846781,4387430,87.0
128,cold,True,3800649,0.07847,4706021,4400880,88.0
128,cold,True,3944598,0.079138,4912041,4566080,88.0
128,cold,True,4066746,0.102067,5083648,4708700,88.0
128,cold,True,3897755,0.074888,4785868,4518560,87.0
128,cold,True,3395373,0.077671,4239630,3754610,87.0
128,cold,True,3939954,0.091106,5637688,4561630,87.0
128,cold,True,3837628,0.084191,5605163,4497490,87.0
128,cold,True,3447318,0.079562,4245348,3826820,87.0
128,cold,True,3811675,0.089992,7726464,4430000,87.0
128,cold,True,3890363,0.073321,4883760,4549090,87.0
128,cold,True,3889020,0.078398,4871255,4529670,88.0
128,cold,True,3803211,0.079902,4698591,4423860,87.0
128,cold,True,3872371,0.085022,4840674,4493520,87.0
128,cold,True,3972930,0.080053,4920237,4594050,87.0
128,cold,True,3865563,0.080166,5283128,4487330,87.0
128,cold,True,3891411,0.077392,9294782,4530930,87.0
128,cold,True,3289239,0.074994,4011321,3629810,87.0
128,cold,True,3928042,0.079807,7765762,4588240,87.0
128,cold,True,3815414,0.083197,5060944,4396140,88.0
128,cold,True,3859468,0.077467,4804423,4460590,87.0
128,cold,True,3908014,0.080106,5117493,4567210,88.0
128,cold,True,3338195,0.071437,4272032,3699920,87.0
128,cold,True,3928543,0.084472,4823265,4589070,88.0
128,cold,True,3935258,0.079723,4941555,4556420,88.0
128,cold,True,3804905,0.079325,4744563,4446970,87.0
128,cold,True,3875390,0.078877,4747896,4475990,88.0
128,cold,True,3898730,0.078497,4949965,4538140,87.0
128,cold,True,3841957,0.080269,4769236,4481960,88.0
128,cold,True,3981401,0.075674,5029549,4660230,87.0
128,cold,True,3442220,0.07668,4251738,3783640,88.0
128,cold,True,3801563,0.07584,7680724,4424400,87.0
128,cold,True,3863977,0.07804,4704070,4484240,87.0
128,warm,False,2255395,0.074975,3166489,2855010,92.0
128,warm,False,2263905,0.073414,3157417,2844310,90.0
128,warm,False,2289186,0.071915,3183554,2871240,92.0
128,warm,False,2270776,0.07732,3185536,2872700,91.0
128,warm,False,2255258,0.083955,3158361,2875270,92.0
128,warm,False,2260293,0.073463,3176112,2859050,91.0
128,warm,False,2290570,0.087409,3140440,2873350,91.0
128,warm,False,2226123,0.078903,3105946,2864750,92.0
128,warm,False,2298713,0.078323,3105540,2881710,91.0
128,warm,False,2259771,0.076185,3139838,2879480,91.0
128,warm,False,2231024,0.080643,3124019,2850690,91.0
128,warm,False,2292179,0.071944,3198671,2874280,91.0
128,warm,False,2230830,0.082259,3128369,2851570,90.0
128,warm,False,2234866,0.078021,3097030,2855280,91.0
128,warm,False,2214441,0.080267,6103120,2851830,91.0
128,warm,False,2298662,0.079442,3142829,2900690,91.0
128,warm,False,2256243,0.078597,3210518,2894930,91.0
128,warm,False,2258997,0.110714,3142241,2860110,92.0
128,warm,False,2280437,0.075575,3179326,2860950,91.0
128,warm,False,2281325,0.080926,3171047,2900020,91.0
128,warm,False,2243535,0.077562,3193344,2882180,92.0
128,warm,False,2247097,0.085181,3183877,2847000,91.0
128,warm,False,2278136,0.077913,3149880,2878900,91.0
128,warm,False,2293175,0.07929,3176878,2895290,92.0
128,warm,False,2259879,0.075621,6188935,2898250,91.0
128,warm,False,2248639,0.081926,3258684,2888130,92.0
128,warm,False,2301185,0.076284,3141615,2901920,91.0
128,warm,False,2280034,0.081614,3233204,2881900,91.0
128,warm,False,2230370,0.088656,3156809,2850090,91.0
128,warm,False,2238406,0.07288,3056447,2837130,90.0
128,warm,False,2258332,0.076146,3136886,2859860,91.0
128,warm,False,2249477,0.08162,3158334,2850790,91.0
128,warm,False,2259339,0.075275,3224817,2878800,91.0
128,warm,False,2224539,0.108468,3086321,2843700,90.0
128,warm,False,2288640,0.101552,6169627,2890800,92.0
128,warm,False,2288671,0.076316,3112474,2889990,90.0
128,warm,False,2257288,0.073372,3127133,2877260,91.0
128,warm,False,2247072,0.072617,3218294,2866850,92.0
128,warm,False,2251669,0.076994,3096584,2871370,91.0
128,warm,False,2276460,0.07879,3237432,2897010,91.0
128,warm,False,2310231,0.076272,3236557,2911990,92.0
128,warm,False,2234647,0.075596,3217135,2855580,91.0
128,warm,False,2275681,0.077396,3218950,2876790,91.0
128,warm,False,2275883,0.083965,3121924,2878010,90.0
128,warm,False,2248142,0.075475,3217970,2866890,92.0
128,warm,False,2267177,0.085834,3169739,2868610,92.0
128,warm,False,2256070,0.071647,3160418,2894430,91.0
128,warm,False,2234989,0.072854,3176906,2854080,92.0
128,warm,False,2262734,0.077948,3145557,2883510,91.0
128,warm,False,2242481,0.076972,3115802,2862200,92.0
